method,transform,stage,seed,success,invariance_gap,passes_audit
aggregate_robustness,camera_yaw,perception,0,0.8688,0.0500,1
aggregate_robustness,camera_yaw,perception,1,0.8535,0.0786,1
aggregate_robustness,camera_yaw,perception,2,0.8367,0.0853,1
aggregate_robustness,camera_yaw,perception,3,0.8427,0.0966,1
aggregate_robustness,camera_yaw,perception,4,0.8531,0.0694,1
aggregate_robustness,camera_yaw,perception,5,0.8229,0.1077,1
aggregate_robustness,camera_yaw,perception,6,0.8404,0.0796,1
aggregate_robustness,camera_yaw,perception,7,0.8202,0.1024,1
aggregate_robustness,camera_yaw,perception,8,0.8306,0.1064,1
aggregate_robustness,camera_yaw,perception,9,0.8052,0.1123,1
aggregate_robustness,camera_yaw,perception,10,0.8739,0.0506,1
aggregate_robustness,camera_yaw,perception,11,0.8916,0.0273,1
aggregate_robustness,camera_yaw,perception,12,0.8530,0.0589,1
aggregate_robustness,camera_yaw,perception,13,0.8848,0.0218,1
aggregate_robustness,camera_yaw,perception,14,0.8574,0.0594,1
aggregate_robustness,camera_yaw,perception,15,0.8468,0.0732,1
aggregate_robustness,camera_yaw,perception,16,0.8172,0.1174,1
aggregate_robustness,camera_yaw,perception,17,0.8313,0.0836,1
aggregate_robustness,camera_yaw,perception,18,0.8722,0.0625,1
aggregate_robustness,camera_yaw,perception,19,0.8627,0.0639,1
aggregate_robustness,camera_yaw,perception,20,0.8295,0.0834,1
aggregate_robustness,camera_yaw,perception,21,0.8413,0.0745,1
aggregate_robustness,camera_yaw,perception,22,0.8301,0.0787,1
aggregate_robustness,camera_yaw,perception,23,0.8588,0.0905,1
aggregate_robustness,camera_yaw,perception,24,0.8761,0.0408,1
aggregate_robustness,camera_yaw,perception,25,0.8623,0.0530,1
aggregate_robustness,camera_yaw,perception,26,0.8238,0.1065,1
aggregate_robustness,camera_yaw,perception,27,0.8509,0.0743,1
aggregate_robustness,camera_yaw,perception,28,0.8701,0.0402,1
aggregate_robustness,camera_yaw,perception,29,0.8515,0.0712,1
aggregate_robustness,camera_yaw,perception,30,0.8497,0.0862,1
aggregate_robustness,camera_yaw,perception,31,0.8212,0.1032,1
aggregate_robustness,camera_yaw,perception,32,0.8561,0.0647,1
aggregate_robustness,camera_yaw,perception,33,0.8193,0.0985,1
aggregate_robustness,camera_yaw,perception,34,0.8533,0.0684,1
aggregate_robustness,camera_yaw,perception,35,0.8226,0.0907,1
aggregate_robustness,camera_yaw,perception,36,0.8397,0.0812,1
aggregate_robustness,camera_yaw,perception,37,0.8037,0.1228,0
aggregate_robustness,camera_yaw,perception,38,0.8291,0.0960,1
aggregate_robustness,camera_yaw,perception,39,0.8599,0.0484,1
aggregate_robustness,camera_yaw,latent_memory,0,0.7241,0.1199,1
aggregate_robustness,camera_yaw,latent_memory,1,0.7574,0.0781,1
aggregate_robustness,camera_yaw,latent_memory,2,0.7719,0.0524,1
aggregate_robustness,camera_yaw,latent_memory,3,0.7464,0.0869,1
aggregate_robustness,camera_yaw,latent_memory,4,0.7743,0.0587,1
aggregate_robustness,camera_yaw,latent_memory,5,0.7357,0.0999,1
aggregate_robustness,camera_yaw,latent_memory,6,0.7290,0.1100,1
aggregate_robustness,camera_yaw,latent_memory,7,0.7404,0.1008,1
aggregate_robustness,camera_yaw,latent_memory,8,0.7520,0.0827,1
aggregate_robustness,camera_yaw,latent_memory,9,0.7648,0.0747,1
aggregate_robustness,camera_yaw,latent_memory,10,0.7232,0.1187,1
aggregate_robustness,camera_yaw,latent_memory,11,0.7515,0.0769,1
aggregate_robustness,camera_yaw,latent_memory,12,0.7462,0.0688,1
aggregate_robustness,camera_yaw,latent_memory,13,0.8175,0.0119,1
