paper_id,query_seed,title,year,venue,author0,doi,url,score,problem_claimed,mechanism,hidden_assumptions,fixed_variables,ignored_failures,less_novel,open_questions
1,robot tactile perception,Embodied tactile perception and learning,2020,Brain Science Advances,Huaping Liu,10.26599/bsa.2020.9050012,https://doi.org/10.26599/bsa.2020.9050012,9,,,,,,,
2,robot dynamics learning,Advancements in humanoid robot dynamics and learning-based locomotion control methods,2025,Intelligence &amp; Robotics,Shilong Sun,10.20517/ir.2025.32,https://doi.org/10.20517/ir.2025.32,9,,,,,,,
3,robot foundation model manipulation,From Nano Robotic Manipulation to Nano Manipulation Robot,2025,SmartBot,Zhan Yang,10.1002/smb2.12021,https://doi.org/10.1002/smb2.12021,9,,,,,,,
4,embodied intelligence invariance,Embodied Intelligence through Appendages in Biology and Robotics,2026,IOP Conference Series: Materials Science and Engineering,Azhang Nazaripouya,10.1088/1757-899x/1343/1/012009,https://doi.org/10.1088/1757-899x/1343/1/012009,9,,,,,,,
5,robot manipulation learning,Learning Diffusion Policy from Primitive Skills for Robot Manipulation,2026,Proceedings of the AAAI Conference on Artificial Intelligence,Zhihao Gu,10.1609/aaai.v40i22.38889,https://doi.org/10.1609/aaai.v40i22.38889,9,,,,,,,
6,robot manipulation learning,Learning garment manipulation policies toward robot-assisted dressing,2022,Science Robotics,Fan Zhang,10.1126/scirobotics.abm6010,https://doi.org/10.1126/scirobotics.abm6010,8,,,,,,,
7,sim to real robotics,Zero-shot sim-to-real transfer of reinforcement learning framework for robotics manipulation with demonstration and force feedback,2022,Robotica,Yuanpei Chen,10.1017/s0263574722001230,https://doi.org/10.1017/s0263574722001230,8,,,,,,,
8,robot tactile perception,A review of robot grasping tactile perception based on deep learning,2023,Third International Conference on Control and Intelligent Robotics (ICCIR 2023),Chi Zhang,10.1117/12.3011588,https://doi.org/10.1117/12.3011588,8,,,,,,,
9,sim to real robotics,Robot Manipulation Skills Transfer for Sim-to-Real in Unstructured Environments,2023,Electronics,Zikang Yin,10.3390/electronics12020411,https://doi.org/10.3390/electronics12020411,8,,,,,,,
10,robot tactile perception,Recent developments in robotic tactile perception,2017,Industrial Robot: An International Journal,Robert Bogue,10.1108/ir-06-2017-0106,https://doi.org/10.1108/ir-06-2017-0106,7,,,,,,,
11,embodied intelligence invariance,Adaptation to criticality through organizational invariance in embodied agents,2018,Scientific Reports,Miguel Aguilera,10.1038/s41598-018-25925-4,https://doi.org/10.1038/s41598-018-25925-4,7,,,,,,,
12,robot 3D perception,Real-Time Robust 3D Plane Extraction for Wearable Robot Perception and Control,2018,2018 Design of Medical Devices Conference,Ran Duan,10.1115/dmd2018-6964,https://doi.org/10.1115/dmd2018-6964,7,,,,,,,
13,robot tactile perception,Robot Tactile Sensing: Vision Based Tactile Sensor for Force Perception,2019,"2018 IEEE 8th Annual International Conference on CYBER Technology in Automation, Control, and Intelligent Systems (CYBER)",Tao Zhang,10.1109/cyber.2018.8688163,https://doi.org/10.1109/cyber.2018.8688163,7,,,,,,,
14,robot foundation model manipulation,Trends and challenges in robot manipulation,2019,Science,Aude Billard,10.1126/science.aat8414,https://doi.org/10.1126/science.aat8414,7,,,,,,,
15,robot foundation model manipulation,Vision for Robust Robot Manipulation,2019,Sensors,Ester Martinez-Martin,10.3390/s19071648,https://doi.org/10.3390/s19071648,7,,,,,,,
16,sim to real robotics,Real–Sim–Real Transfer for Real-World Robot Control Policy Learning with Deep Reinforcement Learning,2020,Applied Sciences,Naijun Liu,10.3390/app10051555,https://doi.org/10.3390/app10051555,7,,,,,,,
17,sim to real robotics,Grounded action transformation for sim-to-real reinforcement learning,2021,Machine Learning,Josiah P. Hanna,10.1007/s10994-021-05982-z,https://doi.org/10.1007/s10994-021-05982-z,7,,,,,,,
18,robot 3D perception,Convolution Neural Network Based Human and Robot Collaboration for 3D Scene Perception,2022,Arid-zone Journal of Basic &amp; Applied Research,Abdulkadir Hamidu Alkali,10.55639/607ztnhb,https://doi.org/10.55639/607ztnhb,7,,,,,,,
19,robot dynamics learning,Learning plastic matching of robot dynamics in closed-loop central pattern generators,2022,Nature Machine Intelligence,Felix Ruppert,10.1038/s42256-022-00505-4,https://doi.org/10.1038/s42256-022-00505-4,7,,,,,,,
20,robot control learning,A Reinforcement Learning Approach for Continuum Robot Control,2023,Journal of Intelligent &amp; Robotic Systems,Turhan Can Kargin,10.1007/s10846-023-02003-0,https://doi.org/10.1007/s10846-023-02003-0,7,,,,,,,
21,robot manipulation learning,Learning Nonprehensile Dynamic Manipulation: Sim2real Vision-Based Policy With a Surgical Robot,2023,IEEE Robotics and Automation Letters,Radian Gondokaryono,10.1109/lra.2023.3312038,https://doi.org/10.1109/lra.2023.3312038,7,,,,,,,
22,robot representation learning,Reinforcement Learning with Decoupled State Representation for Robot Manipulations,2023,,Kun Dong,10.21203/rs.3.rs-3117846/v1,https://doi.org/10.21203/rs.3.rs-3117846/v1,7,,,,,,,
23,robot foundation model manipulation,Robot Manipulation based on Machine Learning,2023,,Almast Karen,10.31219/osf.io/dtw43,https://doi.org/10.31219/osf.io/dtw43,7,,,,,,,
24,robot manipulation learning,Robot learning from demonstration of force-based manipulation tasks,2023,,,10.5821/dissertation-2117-95104,https://doi.org/10.5821/dissertation-2117-95104,7,,,,,,,
25,robot tactile perception,Tactile-GAT: Tactile Graph Attention Networks for Robot Tactile Perception Classification,2023,,Lun Chen,10.21203/rs.3.rs-3261017/v1,https://doi.org/10.21203/rs.3.rs-3261017/v1,7,,,,,,,
26,sim to real robotics,A Real-to-Sim-to-Real Approach for Vision-Based Autonomous MAV-Catching-MAV,2024,Unmanned Systems,Zian Ning,10.1142/s2301385025500360,https://doi.org/10.1142/s2301385025500360,7,,,,,,,
27,robot manipulation learning,Efficient Robot Manipulation via Reinforcement Learning with Dynamic Movement Primitives-Based Policy,2024,Applied Sciences,Shangde Li,10.3390/app142210665,https://doi.org/10.3390/app142210665,7,,,,,,,
28,embodied intelligence invariance,Exploring Embodied Intelligence in Soft Robotics: A Review,2024,Biomimetics,Zikai Zhao,10.3390/biomimetics9040248,https://doi.org/10.3390/biomimetics9040248,7,,,,,,,
29,robot representation learning,Reinforcement Learning with Decoupled State Representation for Robot Manipulations,2024,Neural Processing Letters,Kun Dong,10.1007/s11063-024-11650-9,https://doi.org/10.1007/s11063-024-11650-9,7,,,,,,,
